Solar,Pressure,Temp,Humidity,npk_val,ph,soil_moist,lastFeeding,lastWatering
3.155555555555556,69.1358024691358,21.660000000000025,100.0,42.0,7.1,59.753539325842695,18,-211
2.155555555555556,69.1358024691358,21.100000000000023,93.25842696629213,42.0,7.1,70.00589887640449,19,-210
0.0,None,None,None,None,None,None,20,-209
0.0,None,None,None,None,None,None,21,-208
0.0,None,None,None,None,None,None,22,-207
0.0,None,None,None,None,None,None,23,-206
0.0,None,None,None,None,None,None,24,-205
0.0,None,None,None,None,None,None,25,-204
0.0,None,None,None,None,None,None,26,-203
18.266666666666666,66.66666666666666,19.410000000000025,100.0,29.999999999999996,6.5,87.28233146067416,22,-202
46.86666666666667,66.66666666666666,21.970000000000027,93.25842696629213,29.999999999999996,6.5,86.64233146067414,18,-201
77.35555555555555,66.66666666666666,26.33000000000004,80.89887640449437,42.0,7.1,86.67592696629211,19,-200
93.06666666666666,66.66666666666666,29.08000000000004,65.1685393258427,42.0,7.1,85.98842696629212,20,-199
97.24444444444444,66.66666666666666,32.84000000000003,28.08988764044944,42.0,7.1,85.04842696629213,21,-208
95.55555555555556,65.4320987654321,35.620000000000005,21.34831460674157,29.999999999999996,6.5,84.35342696629213,17,-217
88.26666666666667,65.4320987654321,34.84000000000003,65.1685393258427,42.0,7.1,91.28999999999999,18,-216
76.95555555555555,65.4320987654321,34.870000000000005,70.78651685393258,42.0,7.1,84.54092696629213,19,-215
57.86666666666667,65.4320987654321,31.980000000000018,75.28089887640449,42.0,7.1,72.90387640449437,20,-214
41.44444444444444,65.4320987654321,30.08000000000004,75.28089887640449,42.0,7.1,57.648539325842684,21,-213
19.044444444444444,65.4320987654321,28.99000000000001,80.89887640449437,29.999999999999996,6.5,20.842387640449438,17,-212
0.33333333333333337,66.66666666666666,27.77000000000004,80.89887640449437,42.0,7.1,14.405814606741563,18,-211
0.0,None,None,None,None,None,None,19,-210
0.0,None,None,None,None,None,None,20,-209
0.0,None,None,None,None,None,None,21,-208
0.0,None,None,None,None,None,None,22,-207
0.0,None,None,None,None,None,None,23,-206
0.0,None,None,None,None,None,None,24,-205
0.0,None,None,None,None,None,None,25,-204
0.0,None,None,None,None,None,None,26,-203
0.0,None,None,None,None,None,None,27,-202
0.0,None,None,None,None,None,None,28,-201
0.0,None,None,None,None,None,None,29,-200
0.0,None,None,None,None,None,None,30,-199
15.288888888888888,65.4320987654321,23.950000000000045,93.25842696629213,29.999999999999996,6.5,67.04620786516853,26,-198
47.57777777777778,64.19753086419753,25.670000000000016,75.28089887640449,29.999999999999996,6.5,76.72856741573032,22,-197
73.73333333333333,64.19753086419753,28.79000000000002,26.96629213483146,29.999999999999996,6.5,64.71261235955056,18,-206
84.95555555555555,65.4320987654321,30.680000000000007,24.719101123595504,42.0,7.1,81.09404494382022,19,-215
85.6888888888889,65.4320987654321,32.120000000000005,21.34831460674157,42.0,7.1,77.36325842696628,20,-224
77.66666666666666,64.19753086419753,33.64000000000004,21.34831460674157,42.0,7.1,84.84842696629211,21,-233
66.06666666666666,64.19753086419753,34.870000000000005,23.595505617977526,29.999999999999996,6.5,84.54092696629213,17,-242
51.13333333333333,64.19753086419753,34.610000000000014,52.80898876404494,42.0,7.1,66.62839887640448,18,-241
35.733333333333334,64.19753086419753,32.98000000000002,60.67415730337079,42.0,7.1,18.721292134831454,19,-240
17.733333333333334,62.96296296296296,31.850000000000023,65.1685393258427,42.0,7.1,16.756601123595498,20,-239
5.844444444444444,61.72839506172839,32.30000000000001,52.80898876404494,42.0,7.1,13.273314606741568,21,-238
0.0,None,None,None,None,None,None,22,-237
0.0,None,None,None,None,None,None,23,-236
0.0,None,None,None,None,None,None,24,-235
0.0,None,None,None,None,None,None,25,-234
0.0,None,None,None,None,None,None,26,-233
0.0,None,None,None,None,None,None,27,-232
0.0,None,None,None,None,None,None,28,-231
0.0,None,None,None,None,None,None,29,-230
0.0,None,None,None,None,None,None,30,-229
0.0,None,None,None,None,None,None,31,-228
0.0,None,None,None,None,None,None,32,-227
0.0,None,None,None,None,None,None,33,-226
0.0,None,None,None,None,None,None,34,-225
6.9111111111111105,62.96296296296296,21.610000000000014,86.51685393258427,11.999999999999996,5.6,81.11435393258427,30,-224
20.466666666666665,62.96296296296296,23.460000000000036,75.28089887640449,29.999999999999996,6.5,68.29230337078651,26,-223
30.08888888888889,62.96296296296296,25.370000000000005,56.17977528089888,29.999999999999996,6.5,73.43278089887639,22,-222
36.37777777777777,65.4320987654321,25.840000000000032,80.89887640449437,29.999999999999996,6.5,80.05685393258426,18,-221
42.977777777777774,66.66666666666666,25.52000000000004,75.28089887640449,42.0,7.1,74.51887640449438,19,-220
42.888888888888886,66.66666666666666,25.970000000000027,75.28089887640449,42.0,7.1,86.76592696629213,20,-219
